,SN20A,SN20B,SN21A,SN21B,SN22A,SN22B,SN23A,SN23B,SN24A,SN24B,SN25A,SN25B
IFNL1,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_13060,129,63,11,4,9,0,14,12,52,32,32,29
NewGene_13066,2,0,2,0,0,0,0,0,0,3,0,0
NewGene_13064,12,4,0,0,2,0,0,0,4,0,7,6
OR2T5,0,0,0,0,0,0,0,0,0,0,0,0
SH3D21,329,465,332,347,294,314,655,188,409,514,345,319
NewGene_15802,78,11,89,62,4,90,104,2,13,30,99,20
NewGene_15801,88,2,52,82,2,48,68,0,5,31,130,9
NewGene_15800,6,0,11,3,1,9,2,0,0,2,5,1
NewGene_15807,0,0,0,0,0,0,0,5,0,0,4,3
NewGene_15805,14,18,4,4,7,4,2,6,3,0,0,4
NewGene_15804,0,0,0,0,0,1,1,0,0,0,0,0
NewGene_15809,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_15808,2,2,0,2,3,2,3,0,0,5,0,1
IRGM,7,12,17,28,10,16,8,5,13,26,13,10
NewGene_10328,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_10325,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_10324,13,8,8,18,19,31,10,17,10,10,8,8
NewGene_10327,6,3,0,0,0,0,0,0,0,0,2,0
IRGC,0,0,5,0,3,0,4,0,0,0,0,3
NewGene_10322,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_7759,0,3,0,0,0,0,0,0,0,0,0,0
KIR2DL3,0,0,0,0,0,0,0,0,0,0,0,0
FOXP4,2433,3029,1310,1474,1170,1400,1504,1268,1307,1514,1768,1596
NewGene_7752,0,0,0,0,0,0,0,0,2,0,0,0
FOXP1,1329,1528,986,1026,1018,1242,1037,1236,892,1007,812,1045
NewGene_7754,2,0,2,0,1,0,4,4,0,1,4,0
FOXP3,14,10,10,12,14,20,11,6,12,8,15,11
FOXP2,24,33,163,229,126,106,156,93,95,80,68,65
FAM83F,16,12,58,33,54,68,43,40,39,48,39,32
DLC1,1003,1231,664,586,617,812,585,802,471,651,468,563
NewGene_1346,0,0,0,0,0,2,0,3,0,0,0,0
FAM83E,6,3,7,20,0,5,5,6,6,15,5,0
FAM83B,22,15,14,3,10,7,11,10,8,18,40,26
NewGene_1341,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_1342,21,14,14,5,49,20,19,20,27,16,17,25
FAM83A,0,3,2,0,0,6,2,3,0,0,0,0
LPL,479,448,1155,464,834,513,1305,604,847,453,736,635
LPO,0,0,4,1,17,16,5,3,3,3,13,5
NewGene_1348,4,11,18,32,8,13,24,10,40,20,12,22
NewGene_1349,5,14,19,13,0,11,4,14,0,13,6,0
YY1AP1,1927,1515,2281,2040,2187,2325,2608,2048,2112,2151,2705,2309
NewGene_2823,0,0,0,0,0,0,0,2,0,0,0,0
DAPP1,6,5,36,0,49,51,43,56,17,11,2,0
NewGene_2824,0,0,7,0,0,4,0,2,0,0,2,0
NewGene_2826,4,0,0,0,0,0,0,2,0,0,0,0
NewGene_3278,0,0,0,2,3,1,0,0,2,0,0,2
IDNK,286,246,85,140,118,99,147,84,154,117,268,191
PHKB,4332,3428,3619,3464,3858,3671,4037,3234,3722,3380,4075,3736
APLNR,24,41,170,44,38,36,197,19,58,94,6,31
NewGene_1692,6,0,4,3,8,8,5,6,5,3,3,3
NewGene_1693,0,0,0,0,0,2,0,0,0,0,0,0
NewGene_1690,0,1,0,0,0,0,0,0,0,0,0,0
NewGene_1691,4,0,3,0,2,0,0,0,0,5,6,0
NewGene_1696,0,0,0,0,0,0,2,0,1,0,0,0
NewGene_1694,0,0,0,0,0,0,0,0,0,0,0,0
POLE2,27,35,56,129,30,52,48,48,49,41,48,53
NewGene_1699,0,0,0,0,0,0,0,2,2,0,0,0
POLE4,191,183,377,227,320,370,279,286,261,226,415,371
RBAK-RBAKDN,3,0,0,0,4,4,0,0,0,0,0,3
TMEM254,823,826,755,1035,762,829,892,667,742,654,1210,1074
NLRP10,0,0,0,1,0,0,0,0,0,0,0,0
TMEM250,1513,1209,858,906,846,843,915,790,871,877,1128,998
TMEM252,5,5,3,5,4,0,0,0,0,0,6,9
TMEM253,46,37,40,33,30,30,36,48,30,30,22,17
MGARP,35,40,74,68,90,67,90,48,65,37,79,60
TMEM258,719,630,523,859,584,510,540,432,541,618,622,750
TMEM259,4329,4014,3392,2894,2901,3024,3349,2548,3237,3444,4036,3190
CRIP2,3584,3098,4663,3899,4737,5350,4470,4311,3563,3901,3491,3358
CRIP3,2,4,7,16,9,10,18,17,27,24,7,11
CRIP1,1344,913,529,551,537,331,531,318,608,425,591,698
THSD7B,431,388,1633,510,2336,3025,2051,2025,1754,2308,871,1268
THSD7A,468,561,2493,5030,2946,3224,3714,2842,2235,2637,1940,2166
LOC112268384,7,8,11,8,12,10,8,11,13,7,8,11
RPP21,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_16868,16,11,40,13,12,23,48,22,15,34,25,26
NewGene_16869,0,0,1,0,0,0,1,1,2,0,0,0
NCBP3,1945,1876,2157,2642,2170,2546,2437,2184,2216,2271,2909,2737
NewGene_16861,281,293,401,468,350,414,534,329,445,512,567,392
NCBP1,1732,1764,2533,2836,2688,2887,2601,2536,2261,2091,2520,2436
NewGene_16863,0,0,3,4,0,2,2,0,8,6,2,2
NewGene_16864,17,24,22,45,30,39,75,19,46,63,53,88
NewGene_16865,5,5,5,2,0,0,2,1,2,0,3,1
NewGene_16866,76,58,56,84,53,36,96,40,78,109,89,52
NewGene_16867,38,33,139,70,147,193,167,158,123,155,113,61
MFSD14A,3175,2837,3023,2672,2886,2818,3225,2567,2931,2518,3640,3213
MFSD14B,2249,2221,1382,1698,1221,1292,1499,1185,1448,1183,1805,1662
SUGCT,191,222,132,135,105,137,104,143,122,127,103,116
NewGene_2582,5,8,2,21,3,1,6,13,5,4,3,14
RABGAP1,3064,2808,3638,3700,3467,3462,4046,3136,3449,3189,4414,3876
NewGene_2580,26,33,42,18,44,35,21,34,33,102,78,54
NewGene_2587,20,44,71,26,44,67,22,51,39,47,65,70
SH3GLB2,2892,2282,2633,1749,2378,2790,2138,2140,2263,2541,2563,2195
SH3GLB1,5132,5081,7727,5797,8045,8978,7646,8108,6807,6784,7493,7175
SLC38A10,4901,4524,3386,2885,3055,2993,3261,2907,3246,3261,3912,3192
NewGene_2589,0,0,0,0,0,6,0,3,1,0,0,0
NewGene_2588,0,0,0,0,0,0,0,0,3,0,0,0
CRIPT,845,843,766,776,901,898,836,876,711,798,884,830
DMKN,511,541,176,104,192,125,138,183,164,176,381,363
NewGene_3188,26,25,52,18,35,35,24,24,30,26,20,31
NewGene_3189,0,3,7,8,13,16,20,15,20,12,24,17
NewGene_12619,0,0,2,0,0,0,2,0,0,0,0,0
NewGene_3180,133,94,58,25,40,29,34,21,31,19,56,57
NewGene_3181,6,6,0,6,0,0,2,0,2,4,0,3
NewGene_3182,2,9,6,11,4,7,4,8,3,6,4,0
NewGene_3184,12,13,19,2,15,10,18,6,31,14,72,33
NewGene_3186,2,0,0,0,0,0,9,3,2,7,6,8
NewGene_3187,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_2639,0,2,10,6,0,4,5,6,0,7,4,0
NewGene_2638,299,176,121,18,155,92,136,109,133,167,108,59
NewGene_2631,114,112,81,13,61,46,46,34,81,106,115,69
NewGene_2636,0,0,0,0,0,0,0,0,0,0,0,0
SMARCA2,2671,2075,1888,1531,1801,2007,1747,1911,2158,1752,2705,2095
SMARCA1,13709,12444,9695,9982,8977,7732,9651,7649,10421,8094,16396,12951
SMARCA5,6726,6680,6300,9273,5817,5735,7189,5723,6167,5498,7574,7106
SMARCA4,9312,8612,10256,12114,10112,10182,11903,9180,9394,8890,11856,10106
AVL9,2930,2767,3516,4410,3916,4268,4069,3571,3274,3243,3771,3611
PKD1,1364,1228,1469,1296,1366,1662,1518,1065,1512,1992,1845,1267
CLUAP1,1380,1258,1129,1101,1101,1060,1299,933,1026,1027,1758,1670
TSNAXIP1,756,569,362,360,275,282,380,217,454,443,784,600
STK39,5400,3606,3383,2188,3858,3582,2917,3109,3094,2663,3550,2962
STK38,3025,2683,2348,2089,1813,1777,2178,1789,2169,2175,2783,2304
STK36,3798,2922,2188,1917,1653,1513,2392,1126,2442,2431,3976,2622
STK35,1783,1589,1640,1447,1626,1789,1543,1566,1476,1537,1939,1619
STK33,2478,2139,838,1063,767,732,958,658,1008,994,1630,1490
STK31,8,5,12,20,12,14,32,16,28,21,13,20
XK,744,563,608,282,854,833,468,691,518,634,894,975
NewGene_7039,0,0,13,28,0,2,14,4,12,6,9,9
XG,4,12,22,6,17,13,11,18,5,17,7,8
NewGene_7035,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_7030,143,141,22,114,60,51,67,63,79,67,99,66
RASL10B,5606,5167,3020,2088,4017,3592,3310,3326,3015,3556,2589,2190
RASL10A,53,63,75,39,61,109,50,65,55,83,43,62
NewGene_7033,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_12419,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_12418,0,0,0,0,0,0,0,0,2,0,0,0
GCM2,0,0,0,0,0,3,0,0,0,0,2,0
NewGene_12417,2,6,9,6,10,23,11,21,6,8,16,25
NAV1,6749,7369,12643,7305,13672,16621,13802,14531,10121,12432,7139,7656
NAV2,6523,6535,4266,5237,3297,4171,5458,4031,4252,4514,3979,3761
NAV3,1332,1292,3438,2240,3958,4176,3482,3369,2773,3003,3304,3145
ACAN,8,2,87,114,18,202,93,37,27,12,10,6
SECISBP2,1902,1551,1491,2835,1337,1422,2415,1188,1735,1793,2337,2117
MMD2,6,9,29,22,21,29,31,17,36,35,30,20
MMS19,2638,2437,2464,2156,2195,2486,2346,2073,2125,2145,2336,2012
C1orf21,2191,1765,3460,2773,3647,3334,4119,2659,2802,2636,4038,3805
TACC3,161,151,346,767,256,325,459,310,331,305,239,266
TACC2,2485,2224,3718,2955,4232,4392,4288,3447,3404,3659,3817,3368
TACC1,1930,1816,2748,1257,2756,2619,2217,2369,2185,2217,2996,2600
OR5I1,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_6636,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_6631,0,0,0,0,0,1,0,0,0,2,0,0
NewGene_6630,0,0,8,0,0,0,2,0,4,0,0,0
NewGene_6633,3,0,0,4,2,0,4,0,8,9,0,3
NewGene_6632,0,2,0,2,0,3,3,0,0,3,0,0
HOXA9,0,0,0,0,0,0,3,0,0,3,0,0
FAM184A,831,615,1331,851,1009,1355,1101,1386,842,955,1178,1038
HOXA1,160,106,101,136,89,87,347,119,167,198,43,67
HOXA2,147,136,177,894,33,42,782,24,329,295,130,118
HOXA3,360,310,316,1242,70,101,1683,125,795,599,263,334
HOXA4,39,51,145,495,21,10,1259,13,557,385,132,333
HOXA5,0,18,6,18,0,4,671,0,630,490,76,270
HOXA6,0,0,0,0,0,3,37,0,23,33,0,9
HOXA7,0,0,0,4,0,0,7,0,1,11,0,0
ANO1,32,30,102,33,105,108,91,117,122,141,92,127
MAGOHB,397,350,246,443,225,246,323,251,305,307,343,341
ANO3,36,28,264,73,406,432,241,456,147,184,105,73
ANO2,303,311,214,138,196,199,134,136,230,244,442,431
ANO5,910,723,1590,1294,2223,2205,1999,2297,2011,2392,1374,1501
ANO4,2149,2095,965,566,958,991,953,1126,1026,1001,1070,1305
ANO7,32,39,61,33,58,67,56,39,34,51,56,50
ANO6,5304,4834,3243,2332,2830,2855,2579,2962,2888,2594,3603,3046
ANO9,79,55,34,6,35,11,21,11,52,27,150,108
ANO8,1359,1111,2181,1834,1731,2240,2487,1692,2196,2981,2120,1818
ZNF208,0,0,0,0,0,0,0,0,0,0,0,0
ZNF202,451,430,654,715,558,606,705,504,587,606,897,763
ZNF200,439,419,410,495,403,442,524,434,437,458,509,434
ZNF207,6838,6393,6000,6618,5241,5504,6536,5154,5899,5603,6651,5872
ZNF205,475,468,708,595,627,722,767,619,584,600,925,728
TTC9B,132,109,689,273,905,973,642,714,437,629,533,410
TTC9C,597,667,620,669,680,716,701,672,626,600,740,606
CDIP1,975,921,1143,1121,1361,1511,1305,1285,1012,1050,1166,1006
SDCBP,10439,10069,9168,7824,10075,8469,7671,7627,8373,6245,14965,12606
FMN1,136,102,357,48,386,402,188,382,148,156,73,132
CDIPT,2974,2604,2476,1822,2619,2869,2130,2180,2341,2291,2673,2399
LY6S,30,33,47,19,49,56,39,33,31,44,32,25
OR4M2,0,0,0,0,0,0,0,0,0,0,0,0
MTARC1,567,446,566,835,523,486,538,414,631,538,788,652
MTARC2,422,322,250,258,272,214,294,193,280,240,286,259
LY6K,11,13,52,19,68,62,59,48,13,44,3,23
LY6H,370,304,1654,746,1472,1647,1771,1564,1559,1921,912,890
LY6L,4,0,5,2,2,2,1,0,0,3,0,2
LIN7B,179,114,347,200,301,352,280,293,246,316,277,260
LIN7C,851,869,1715,1347,2426,2505,1946,2241,1551,1613,2177,2082
LY6D,0,0,0,0,0,0,0,0,2,0,0,0
LIN7A,969,910,2260,2468,3068,2991,3959,2317,2082,1960,2307,2038
NewGene_8578,0,2,3,3,1,4,5,2,2,4,0,0
NewGene_8579,0,0,0,0,0,4,0,0,0,6,0,0
RASSF10,53,75,62,54,49,93,42,56,31,53,46,56
NewGene_8571,0,0,3,6,0,0,3,0,0,0,3,4
NewGene_8574,0,0,0,2,0,0,0,0,0,0,0,0
NewGene_8575,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_8577,82,122,288,361,220,360,418,385,332,500,231,279
FABP9,1,0,0,0,0,0,0,4,0,0,0,0
MAP6D1,284,213,351,269,452,616,393,425,427,458,349,363
FABP1,0,0,0,0,0,0,0,0,0,0,0,0
FABP3,418,275,2746,668,2872,3036,1832,2762,759,585,909,637
FABP2,0,0,0,0,2,0,0,0,0,0,0,0
FABP5,890,849,2317,1829,1498,1930,2736,1684,2363,1694,1095,1212
FABP4,31,22,56,2,58,43,65,37,48,39,4,17
FABP7,122,152,266,555,267,198,313,209,372,312,343,268
FABP6,160,94,140,36,163,206,106,174,104,114,165,170
HAAO,209,135,75,46,54,60,70,62,93,51,123,95
HCFC1R1,1403,1122,1505,841,1411,1628,1216,1205,1020,1274,1169,960
FBXL18,1394,1193,1333,998,1486,1537,1325,1392,1271,1274,1338,1206
FBXL19,2585,2303,3768,3105,4092,4324,3938,3707,3784,3815,4546,3866
NOP53,3906,3611,2308,5501,2199,2165,3389,1916,2869,2638,3991,3708
FBXL14,251,200,284,376,275,270,337,227,309,264,467,375
SAP18,4716,3804,3954,3840,4247,4324,4454,4150,3690,3435,4703,4078
FBXL16,596,498,2234,1440,2217,2786,1855,1967,1698,1952,1872,1555
FBXL17,941,894,1752,1392,1863,2175,1866,1897,1503,1608,1808,1653
SPEM3,0,2,0,2,3,0,2,1,1,0,0,0
SPEM2,2,3,0,3,0,1,2,0,3,2,3,1
FBXL12,680,591,553,549,484,608,554,510,536,563,592,532
FBXL13,129,138,110,105,119,131,115,125,138,95,173,171
OR13F1,0,0,0,0,0,0,0,0,0,0,0,0
EBF2,70,81,653,639,722,684,517,527,482,505,350,369
EBF3,939,955,2876,4631,2425,2809,3306,2701,2764,3498,3024,3148
EBF1,368,405,1815,2770,1814,1878,3320,1955,1991,2083,1435,1655
EBF4,1945,1659,1318,1188,1240,1308,1127,991,1408,1544,2180,1567
RNH1,997,890,497,634,737,657,593,566,653,400,949,797
HPSE2,0,0,3,0,4,0,0,2,3,3,2,3
NewGene_4099,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_4098,3,5,0,3,14,12,6,5,3,11,11,6
NewGene_4097,2,5,13,10,26,14,18,5,14,18,18,3
GZMM,4,5,9,9,4,9,9,7,7,5,3,3
NewGene_4095,811,661,802,964,577,740,906,621,841,1040,1230,960
NewGene_4094,3,0,8,2,4,6,3,12,0,11,3,0
NewGene_4093,0,0,0,0,0,0,4,0,1,0,0,1
NewGene_4092,5,6,8,9,6,14,12,11,10,6,10,7
NewGene_4090,0,2,3,0,0,0,4,1,0,3,0,0
NewGene_426,6,3,22,9,22,24,12,23,17,19,19,11
NewGene_423,50,41,154,77,138,153,184,121,153,190,175,196
NewGene_429,0,0,0,0,0,0,0,0,0,2,0,2
NewGene_428,0,0,3,3,0,0,4,2,1,0,0,0
GZMA,13,29,13,15,11,17,6,20,11,14,21,22
NDUFV2,2654,2118,2888,2351,2630,2831,2618,2587,2380,2322,2438,2208
NDUFV3,1345,1215,1100,994,1234,1223,1135,1135,987,1091,1248,1101
NDUFV1,3483,2959,3359,2748,3378,3439,3554,3081,2846,2822,3671,2971
FAM209B,0,0,7,6,5,4,0,0,0,3,3,7
